                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1031,                0.64761,                 1.1889,                 0.9054,                0.86357,                0.92125,                0.62687,                 1.1964,                0.65563,                 1.2921,               0.000948,               0.000948,               0.000948
                     36,                 1.1038,                0.65367,                 1.1871,                0.89536,                0.85381,                0.92167,                0.63176,                 1.1805,                0.64983,                 1.2829,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.1088,                0.64351,                 1.1785,                0.90757,                0.85397,                0.92329,                0.63665,                 1.1585,                0.64592,                 1.2727,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0943,                0.63833,                 1.1767,                 0.9081,                0.85584,                0.92659,                0.64384,                 1.1666,                0.64299,                  1.276,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0878,                0.62698,                 1.1777,                0.89218,                0.86606,                0.92779,                0.63695,                 1.1752,                0.64042,                 1.2759,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0812,                0.63066,                 1.1702,                0.89877,                0.88569,                0.92791,                  0.646,                 1.1657,                0.62952,                 1.2693,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.0918,                0.62688,                 1.1756,                 0.9011,                 0.8734,                0.93094,                0.63415,                 1.1685,                0.62842,                 1.2623,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0804,                0.62095,                 1.1701,                0.90391,                0.87016,                0.93076,                 0.6432,                 1.1572,                0.61565,                 1.2634,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0674,                0.61811,                 1.1575,                0.88254,                0.87949,                0.92962,                 0.6424,                 1.1642,                0.63128,                 1.2718,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.0751,                0.61937,                   1.17,                0.92787,                0.83414,                0.93014,                 0.6479,                 1.1601,                0.61671,                 1.2631,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.0649,                0.60733,                 1.1654,                0.90199,                0.85313,                0.92409,                0.64302,                 1.1548,                0.61659,                 1.2739,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.0686,                0.60997,                 1.1614,                0.91258,                0.87291,                0.93078,                0.63699,                 1.1743,                0.62549,                 1.2741,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.0663,                 0.5992,                 1.1567,                0.90007,                0.87417,                0.93159,                0.64399,                 1.1571,                0.61399,                 1.2669,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.0517,                0.59675,                 1.1533,                   0.92,                0.85416,                0.93252,                 0.6496,                  1.163,                0.61649,                 1.2633,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.0548,                0.60439,                 1.1551,                0.92055,                0.87239,                0.93739,                0.65276,                 1.1567,                0.59985,                 1.2572,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.0481,                0.58861,                 1.1481,                0.91846,                0.85737,                0.92832,                0.64963,                 1.1536,                0.61939,                 1.2613,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.0457,                0.59083,                 1.1493,                0.91903,                0.87057,                0.93012,                0.64059,                 1.1712,                0.61681,                   1.28,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.0391,                 0.5801,                 1.1435,                0.90868,                0.88466,                0.93629,                0.64935,                  1.166,                0.59114,                 1.2671,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.0464,                0.58442,                 1.1478,                 0.8914,                0.88625,                0.93123,                0.64578,                 1.1599,                0.60103,                 1.2647,             0.00069335,             0.00069335,             0.00069335
