                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.322,                   1.82,                 1.3858,                0.82318,                0.30468,                0.47238,                0.26291,                 1.4584,                 2.0701,                 1.5688,             0.00054976,             0.00054976,             0.00054976
                      2,                 1.4204,                 1.4705,                 1.4544,                0.28419,                0.33568,                0.25125,                0.10322,                 1.9817,                  2.644,                 2.0057,              0.0010981,              0.0010981,              0.0010981
                      3,                  1.431,                 1.3614,                 1.4725,                0.55468,                 0.5133,                0.51436,                0.26382,                  1.592,                 1.6666,                 1.7055,              0.0016392,              0.0016392,              0.0016392
                      4,                 1.4185,                 1.2437,                 1.4499,                0.65048,                0.62719,                0.65427,                0.36179,                 1.4701,                 1.3826,                 1.5682,               0.001634,               0.001634,               0.001634
                      5,                 1.3851,                  1.191,                 1.4438,                0.55669,                0.55576,                0.52975,                0.27313,                 1.5596,                 1.7763,                 1.6478,               0.001623,               0.001623,               0.001623
                      6,                 1.3717,                 1.1363,                 1.4304,                0.69891,                0.63655,                0.71521,                0.43192,                 1.3785,                 1.2633,                 1.4743,               0.001612,               0.001612,               0.001612
                      7,                 1.3496,                 1.1079,                 1.4076,                0.76657,                 0.6592,                0.74819,                0.46232,                 1.3665,                 1.1401,                 1.4876,               0.001601,               0.001601,               0.001601
                      8,                 1.3166,                 1.0786,                 1.4017,                0.72906,                0.64097,                0.69116,                0.39144,                 1.4481,                 1.1209,                 1.5693,                0.00159,                0.00159,                0.00159
                      9,                 1.3073,                 1.0411,                 1.3834,                0.80167,                0.65334,                0.72286,                0.40217,                 1.4762,                 1.1084,                 1.5734,               0.001579,               0.001579,               0.001579
                     10,                 1.3017,                 1.0189,                 1.3794,                0.83295,                0.68539,                0.78664,                0.48189,                 1.3138,                 1.0717,                 1.4464,               0.001568,               0.001568,               0.001568
                     11,                 1.2884,                0.99923,                 1.3643,                0.78308,                0.75894,                0.80792,                0.51268,                 1.2885,                0.98502,                 1.4238,               0.001557,               0.001557,               0.001557
                     12,                 1.2706,                0.97027,                 1.3532,                0.76692,                 0.6039,                 0.7052,                0.44856,                 1.2911,                 1.1256,                 1.4352,               0.001546,               0.001546,               0.001546
                     13,                 1.2592,                0.96197,                 1.3592,                0.70763,                0.64705,                0.71101,                0.45488,                 1.2444,                 1.0197,                 1.3726,               0.001535,               0.001535,               0.001535
                     14,                 1.2476,                0.94248,                 1.3411,                0.85462,                0.73137,                0.82431,                0.50395,                 1.3026,                0.97683,                 1.4273,               0.001524,               0.001524,               0.001524
                     15,                 1.2389,                0.92464,                 1.3383,                0.84065,                0.77708,                0.84205,                0.55023,                 1.2782,                0.93264,                 1.4408,               0.001513,               0.001513,               0.001513
                     16,                 1.2441,                0.92779,                 1.3385,                0.79743,                0.77195,                 0.8381,                0.53451,                 1.2586,                0.84651,                 1.3801,               0.001502,               0.001502,               0.001502
                     17,                 1.2514,                0.90171,                 1.3273,                0.87729,                0.77772,                0.88123,                0.57881,                 1.2219,                0.83107,                 1.3682,               0.001491,               0.001491,               0.001491
                     18,                 1.2259,                0.89494,                 1.3277,                0.87117,                0.76782,                0.85989,                0.55533,                  1.243,                0.87503,                 1.3818,                0.00148,                0.00148,                0.00148
                     19,                 1.2168,                0.87894,                  1.314,                0.86641,                0.80554,                0.88752,                0.59013,                 1.2257,                0.82462,                 1.3529,               0.001469,               0.001469,               0.001469
                     20,                 1.2095,                0.87777,                 1.3122,                0.77883,                 0.7467,                0.80861,                0.52365,                 1.2744,                0.96642,                 1.3818,               0.001458,               0.001458,               0.001458
                     21,                 1.2096,                0.86414,                 1.3039,                 0.8676,                0.76776,                0.86352,                0.56541,                 1.2288,                0.86472,                 1.3595,               0.001447,               0.001447,               0.001447
                     22,                 1.2079,                0.86142,                 1.3041,                0.90736,                0.79704,                0.88492,                0.59666,                 1.2197,                0.77175,                 1.3558,               0.001436,               0.001436,               0.001436
                     23,                 1.1862,                0.84233,                 1.3026,                0.85325,                0.78269,                0.85874,                0.56289,                 1.2202,                0.78702,                 1.3479,               0.001425,               0.001425,               0.001425
                     24,                 1.1896,                0.85237,                 1.3025,                0.91862,                 0.7997,                0.89909,                0.60335,                 1.2089,                0.73487,                 1.3382,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.1714,                  0.816,                 1.2865,                0.88895,                0.79051,                0.89084,                0.58841,                 1.2417,                 0.8631,                 1.3641,              0.0014029,              0.0014029,              0.0014029
                     26,                  1.182,                0.82519,                 1.2883,                0.83596,                0.81274,                0.87375,                0.57116,                 1.2292,                0.81792,                 1.3648,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.1771,                0.81607,                 1.2811,                0.84741,                0.77521,                0.86166,                0.54244,                 1.2194,                0.76067,                 1.3445,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.1731,                0.81815,                 1.2823,                0.90017,                0.82278,                0.89956,                0.60008,                 1.2009,                0.75492,                 1.3304,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.1469,                0.79372,                 1.2714,                 0.8602,                0.75686,                0.86261,                0.57493,                 1.2025,                0.82759,                 1.3339,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.1636,                0.80485,                 1.2762,                0.89149,                0.79802,                0.89204,                0.60583,                 1.2083,                0.73621,                  1.335,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.1607,                0.80059,                 1.2678,                0.85631,                0.72245,                 0.8505,                0.56416,                 1.2113,                0.81703,                 1.3447,              0.0013369,              0.0013369,              0.0013369
                     32,                 1.1386,                0.77804,                 1.2628,                0.86105,                0.78174,                 0.8766,                0.59111,                 1.2086,                 0.7604,                 1.3392,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.1451,                0.77054,                 1.2673,                0.89765,                0.81188,                0.89975,                0.60197,                  1.209,                0.71416,                 1.3275,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.1468,                0.77116,                 1.2652,                0.89767,                 0.8102,                0.88211,                0.60073,                 1.2113,                0.71979,                  1.347,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.1394,                 0.7728,                 1.2582,                0.91024,                0.81844,                0.89384,                0.60916,                 1.1937,                0.76671,                 1.3302,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.1254,                0.74678,                 1.2579,                0.89686,                0.85511,                0.91504,                0.61884,                 1.1915,                0.66247,                 1.3278,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.1247,                0.76057,                 1.2567,                0.84518,                0.83338,                0.89325,                0.59528,                 1.1854,                  0.724,                 1.3183,              0.0012709,              0.0012709,              0.0012709
                     38,                  1.112,                0.74691,                 1.2377,                0.90523,                0.81924,                 0.8953,                 0.6035,                  1.212,                0.72647,                 1.3501,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.1254,                0.74945,                 1.2479,                0.90539,                0.80982,                0.88863,                0.59569,                 1.1998,                0.74107,                  1.326,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.1176,                0.74949,                 1.2488,                0.88775,                0.82472,                0.89788,                0.60543,                 1.1921,                 0.7175,                 1.3196,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.1108,                0.74736,                 1.2446,                0.89468,                0.82435,                0.89568,                0.60785,                 1.2061,                0.72567,                 1.3425,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.1124,                0.74125,                 1.2405,                0.91324,                 0.7924,                 0.8885,                0.60444,                 1.2125,                0.71637,                 1.3399,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.1133,                0.73263,                 1.2412,                0.84768,                0.87662,                0.90759,                0.61813,                 1.1899,                0.71404,                 1.3168,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.1208,                0.73801,                 1.2442,                0.89105,                0.81715,                0.89972,                0.61209,                 1.1922,                0.69912,                  1.327,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.1066,                0.73183,                 1.2403,                0.87608,                0.85105,                0.90444,                0.61116,                 1.1706,                0.68276,                  1.307,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.1055,                 0.7286,                 1.2371,                0.85913,                0.85215,                0.89861,                0.59849,                 1.1955,                0.74412,                 1.3272,              0.0011719,              0.0011719,              0.0011719
                     47,                  1.097,                0.71779,                 1.2334,                0.87939,                0.84447,                0.90295,                0.60855,                 1.1849,                 0.6904,                 1.3121,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.0805,                0.70585,                 1.2261,                0.89249,                0.85544,                0.91704,                0.63252,                 1.1697,                0.67913,                 1.3046,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.0839,                0.70704,                 1.2317,                0.90014,                0.83637,                0.90985,                0.61847,                 1.1921,                0.64425,                 1.3239,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.0796,                0.69944,                 1.2135,                0.90346,                 0.8329,                0.90746,                0.62919,                 1.1816,                0.66901,                 1.3153,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.0754,                0.69906,                 1.2226,                 0.9269,                0.82492,                0.90595,                0.62218,                 1.1553,                0.64812,                 1.3022,              0.0011169,              0.0011169,              0.0011169
                     52,                 1.0796,                0.70103,                 1.2178,                0.91016,                0.83843,                0.91189,                0.62529,                 1.1658,                0.64049,                 1.3052,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.0662,                0.69398,                 1.2169,                0.90772,                0.84828,                0.91466,                0.62097,                 1.1787,                0.65253,                 1.3202,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.0691,                0.69698,                   1.22,                 0.8766,                0.87704,                0.91857,                0.63239,                 1.1621,                0.63861,                 1.3083,              0.0010839,              0.0010839,              0.0010839
                     55,                  1.065,                 0.6778,                 1.2087,                0.89535,                0.83534,                0.89895,                 0.6164,                 1.1756,                0.63843,                 1.3122,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.0703,                0.68863,                 1.2153,                0.84728,                0.87515,                 0.9127,                0.62173,                 1.1913,                0.64984,                  1.314,              0.0010619,              0.0010619,              0.0010619
                     57,                 1.0723,                0.68487,                 1.2159,                0.89402,                0.86844,                0.91933,                 0.6392,                 1.1706,                0.66551,                 1.3029,              0.0010509,              0.0010509,              0.0010509
                     58,                 1.0542,                0.67255,                 1.2055,                0.87585,                0.86116,                0.91452,                0.63139,                  1.173,                0.64375,                 1.3041,              0.0010399,              0.0010399,              0.0010399
                     59,                  1.055,                 0.6741,                 1.2044,                 0.9021,                 0.8457,                0.91745,                0.62856,                 1.1634,                0.63624,                 1.2898,              0.0010289,              0.0010289,              0.0010289
                     60,                  1.031,                0.65535,                 1.1938,                0.86855,                0.87052,                 0.9197,                0.63846,                 1.1637,                0.63528,                 1.2994,              0.0010179,              0.0010179,              0.0010179
                     61,                 1.0489,                0.66454,                 1.1945,                 0.8753,                0.86246,                0.91607,                0.63269,                 1.1643,                0.64526,                  1.299,              0.0010069,              0.0010069,              0.0010069
                     62,                 1.0448,                0.66207,                 1.1969,                0.91197,                0.86307,                0.91231,                 0.6333,                 1.1837,                0.63535,                 1.3185,             0.00099587,             0.00099587,             0.00099587
                     63,                  1.043,                0.65502,                 1.1931,                0.89357,                0.84223,                0.91158,                0.63313,                  1.181,                0.64039,                 1.3092,             0.00098486,             0.00098486,             0.00098486
                     64,                 1.0367,                0.65442,                 1.1845,                0.91713,                0.83228,                0.91623,                0.63251,                  1.156,                0.64847,                 1.2988,             0.00097386,             0.00097386,             0.00097386
